City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,waingapu,-9.6567,120.2641,26.6,85,43,4.26,ID,1682507580
274,taulaga,-11.0553,-171.0883,29.02,73,95,5.52,AS,1682507580
275,kotido,2.9806,34.1331,22.89,69,98,3.72,UG,1682507377
276,mehndawal,26.9753,83.1117,36.8,11,100,3.49,IN,1682507580
277,chernyshevskiy,63.0128,112.4714,-1.95,90,100,1.14,RU,1682507580
278,labytnangi,66.6572,66.4183,0.5,85,15,5.45,RU,1682507581
279,mount gambier,-37.8333,140.7667,21.07,43,81,5.21,AU,1682507581
280,porto murtinho,-21.6989,-57.8825,20.24,98,73,0.99,BR,1682507581
281,vernon,50.2581,-119.2691,8.5,67,96,0.86,CA,1682507423
282,at taj,24.2049,23.2857,34.53,8,2,4.09,LY,1682507582
283,fort mcmurray,56.7268,-111.381,3.73,75,100,6.17,CA,1682507316
284,broome,42.2506,-75.833,4.8,74,100,2.57,US,1682507583
285,san felipe,10.3399,-68.7425,21.76,89,93,1.27,VE,1682507584
286,sussex,41.1834,-74.6663,6.69,77,100,0.0,US,1682507364
287,ipueiras,-7.0333,-40.45,24.56,69,62,5.03,BR,1682507584
288,bredy,52.4153,60.3411,21.71,19,100,9.04,RU,1682507585
289,cam ranh,11.9214,109.1591,28.98,70,0,8.23,VN,1682507585
290,east london,-33.0153,27.9116,26.09,67,9,7.32,ZA,1682507434
291,ust'-kulom,61.6864,53.6902,10.84,86,100,2.16,RU,1682507586
292,san matias,-16.3667,-58.4,23.07,89,4,0.96,BO,1682507587
293,montepuez,-13.1256,38.9997,26.72,52,7,2.94,MZ,1682507587
294,haro,42.5763,-2.8476,21.84,57,90,2.07,ES,1682507587
295,zuunmod,47.7069,106.9528,4.57,21,39,9.05,MN,1682507588
296,charters towers,-20.1,146.2667,21.22,76,47,6.51,AU,1682507589
297,bubaque,11.2833,-15.8333,25.59,59,52,2.74,GW,1682507589
298,xiongzhou,25.1167,114.3,17.45,76,0,1.3,CN,1682507589
299,bolivar,37.6145,-93.4105,8.53,81,94,3.95,US,1682507590
300,tokoroa,-38.2333,175.8667,7.75,88,18,0.45,NZ,1682507590
301,gizo,-8.103,156.8419,28.24,75,65,2.21,SB,1682507591
302,hastings,50.8552,0.5729,11.33,65,84,5.56,GB,1682507411
303,durban,-29.8579,31.0292,25.01,84,0,2.24,ZA,1682507592
304,qaqortoq,60.7167,-46.0333,0.94,87,87,0.46,GL,1682507593
305,argos orestiko,40.4667,21.2667,13.77,60,56,3.86,GR,1682507594
306,barreiras,-12.1528,-44.99,22.18,60,46,1.38,BR,1682507594
307,taft,31.7471,54.2088,26.97,21,75,2.06,IR,1682507594
308,alofi,-19.0595,-169.9187,25.61,80,26,8.18,NU,1682507595
309,isangel,-19.55,169.2667,25.6,83,99,1.78,VU,1682507595
310,kindu,-2.95,25.95,26.58,67,100,1.78,CD,1682507595
311,casper,42.8666,-106.3131,1.33,91,0,4.63,US,1682507596
312,maslyanino,54.3436,84.2111,3.01,100,100,0.81,RU,1682507596
313,berezovyy,51.6667,135.7,0.08,97,100,0.73,RU,1682507597
314,sodra sandby,56.5667,16.6167,8.92,78,85,4.63,SE,1682507597
315,sangmelima,2.9333,11.9833,31.91,47,91,0.79,CM,1682507598
316,padang,-0.9492,100.3543,29.03,88,100,1.95,ID,1682507598
317,inhambane,-23.865,35.3833,29.99,51,40,4.12,MZ,1682507599
318,lospalos,-8.5186,127.0025,23.07,94,97,1.49,TL,1682507599
319,say,13.1007,2.3689,40.17,12,94,4.37,NE,1682507600
320,atafu village,-8.5421,-172.5159,28.89,76,93,6.53,TK,1682507600
321,mossel bay,-34.1831,22.146,20.32,74,87,1.66,ZA,1682507600
322,aleksandrovskoye,44.7142,43.0008,20.4,48,21,7.61,RU,1682507601
323,nova sintra,14.8667,-24.7167,20.01,75,1,7.62,CV,1682507601
324,turkmenbasy,40.0222,52.9552,16.43,82,100,3.09,TM,1682507601
325,island harbour,50.724,-1.2758,11.85,77,99,4.92,GB,1682507602
326,port isabel,26.0734,-97.2086,23.9,95,75,3.09,US,1682507602
327,bantay,17.5847,120.3892,27.89,74,51,2.57,PH,1682507603
328,gebre guracha,9.8,38.4,20.41,43,71,1.25,ET,1682507603
329,fort bragg,35.139,-79.006,12.73,84,100,1.54,US,1682507603
330,tromso,69.6496,18.957,3.01,52,75,2.57,NO,1682507604
331,hasaki,35.7333,140.8333,15.68,90,100,4.83,JP,1682507604
332,tura,25.5198,90.2201,33.42,22,30,2.34,IN,1682507605
333,kzyltu,53.6364,72.3414,23.65,20,80,6.15,KZ,1682507605
334,klyuchi,52.2667,79.1667,21.91,26,62,7.09,RU,1682507606
335,jhargram,22.45,86.9833,37.45,21,87,4.01,IN,1682507606
336,waddan,29.1614,16.139,30.82,9,0,0.74,LY,1682507607
337,jining,35.405,116.5814,16.75,62,0,4.25,CN,1682507607
338,pont rouge,48.8833,-72.0825,3.16,97,100,2.31,CA,1682507608
339,coahuayana de hidalgo,18.7,-103.6583,21.35,57,100,1.48,MX,1682507609
340,akrehamn,59.2667,5.1833,6.67,81,75,6.17,NO,1682507609
341,aripuana,-9.1667,-60.6333,22.13,98,37,0.57,BR,1682507609
342,gadzhiyevo,69.2551,33.3362,0.29,90,61,1.94,RU,1682507610
343,zaysan,47.4667,84.8667,14.49,38,59,6.42,KZ,1682507610
344,aricak,38.5639,40.1347,16.83,47,99,5.69,TR,1682507610
345,curug,-6.2658,106.5564,28.8,61,40,3.09,ID,1682507611
346,sirte,31.2089,16.5887,25.37,30,1,3.06,LY,1682507611
347,menongue,-14.6585,17.691,30.08,23,43,4.77,AO,1682507612
348,katsuura,35.1333,140.3,17.52,89,99,6.14,JP,1682507612
349,kirakira,-10.4544,161.9205,26.32,82,100,0.99,SB,1682507613
350,xiaoweizhai,26.1903,107.5125,17.81,70,17,1.55,CN,1682507613
351,bumba,2.1833,22.4667,24.81,69,100,2.44,CD,1682507613
352,puerto san jose,13.9256,-90.8244,26.42,77,53,3.23,GT,1682507614
353,srivardhan,18.0333,73.0167,29.62,61,73,6.02,IN,1682507614
354,hilo,19.7297,-155.09,23.49,92,0,1.54,US,1682507615
355,kruisfontein,-34.0033,24.7314,27.71,35,59,2.02,ZA,1682507616
356,selebi-phikwe,-21.979,27.8498,31.27,28,7,5.36,BW,1682507616
357,al burayqah,30.4062,19.5739,23.7,38,0,3.69,LY,1682507616
358,xianyang,34.3378,108.7026,20.74,58,83,2.67,CN,1682507617
359,opuwo,-18.0607,13.84,31.71,30,8,3.2,NA,1682507617
360,newborough,52.6389,-0.2233,12.47,58,100,4.12,GB,1682507617
361,nantucket,41.2835,-70.0995,9.08,84,100,3.6,US,1682507618
